SMILE,IP,EA,HomoLumoGap
C(=O)(N=NC(=O)N=[N+]=[N-])N=[N+]=[N-],0.347171652,0.055279611,-0.291892041
C(=O)(C(=O)OOO)O,0.396454564,-0.002423757,-0.398878321
C[N+](=CC=O)[O-],0.340609209,0.002705231,-0.337903978
C(C(O)O)OO,0.364734019,-0.11801514,-0.482749159
C(C#N)NN[N+](=O)[O-],0.380036666,-0.025476852,-0.405513518
COC#CC#N,0.354487917,-0.054479372,-0.408967289
CCC(=[N+]=[N-])C#N,0.324984039,-0.006804588,-0.331788627
CC=CNO,0.296709794,-0.109818199,-0.406527993
CON=NC=O,0.362544655,-0.016513257,-0.379057912
C=CC(=O)N=C=C,0.320124332,-0.012159023,-0.332283355
C(NN)(O)O,0.356524184,-0.142006675,-0.498530859
C=C(O)OC(=O)N,0.306577855,-0.100986864,-0.407564719
C(=O)(C(=O)OO[N+](=O)[O-])O,0.405117317,0.015754293,-0.389363024
CC=CN=C=N,0.310779214,-0.061321261,-0.372100475
C=CC(=O)N=C=N,0.350019511,-0.006387771,-0.356407282
C(=O)(C(=O)OOC(=O)O)O,0.391838029,-0.007728783,-0.399566812
C(=C=C[N+](=O)[O-])[N+](=O)[O-],0.398231776,0.04377988,-0.354451896
C=NN=[N+]=[N-],0.351252767,-0.049769114,-0.401021881
C(C=CN)O,0.295004269,-0.118079148,-0.413083417
C(=O)OOOOC(=O)O,0.39813014,-0.032090969,-0.430221109
C(=O)OC(N)N,0.346215036,-0.104911655,-0.451126691
C(=O)(N)OO[N+](=O)[O-],0.401335487,-0.029131567,-0.430467054
C=C=NN=C=C,0.307548567,-0.042229792,-0.349778359
C(NO)N=O,0.328605422,-0.023717622,-0.352323044
C(C(=O)N=C=O)O,0.386414795,-0.029976058,-0.416390853
C(=N)C(=O)NO,0.336662329,-0.024339422,-0.361001751
C(=O)(OOOO)OOOO,0.40509138,-0.000396871,-0.405488251
C=C(C#N)C(=C)O,0.326077457,-0.017517309,-0.343594766
C(=O)C#CN=[N+]=[N-],0.355940507,0.004974547,-0.35096596
COC(=O)C#C[N+](=O)[O-],0.391993646,0.026675466,-0.36531818
C(=O)N=C=NC=O,0.376924179,-0.007179458,-0.384103637
C(C(=O)O)[N+](=C=O)[O-],0.293900947,-0.03624041,-0.330141357
C(=O)OOC(=O)OOC=O,0.401328586,-0.005039778,-0.406368364
C#CC(=O)NC=O,0.369164516,-0.011996005,-0.381160521
C(=N)(C(=O)OO)N,0.354599798,-0.024809446,-0.379409244
CC#CO[N+](=O)[O-],0.333530733,-0.008604739,-0.342135472
CN(O)ON,0.355802377,-0.145025554,-0.500827931
C=COC(=O)C#CO,0.328087544,-0.042679742,-0.370767286
C=C=COCO,0.313174148,-0.090944597,-0.404118745
CC(C#CC#N)C#N,0.389550591,-0.016881341,-0.406431932
C(=O)(C(=O)OO)C(=O)OO,0.388631548,0.050007633,-0.338623915
C=C(C(=N)N)O,0.315926137,-0.063727726,-0.379653863
CC(=N)C=NO,0.353573017,-0.033415648,-0.386988665
C=C(C=O)N=C=O,0.349912219,-0.004313978,-0.354226197
C(#N)C(=NO)C(=O)OC#N,0.407370235,0.060513182,-0.346857053
C(C#CN)C#N,0.323567977,-0.108155037,-0.431723014
C(=[O+][O-])OO,0.317149179,-0.04653074,-0.363679919
C(#N)NC(=O)N=N,0.380579306,0.026978301,-0.353601005
C(=O)C(=C=C=O)C(=O)O,0.342436159,0.066721967,-0.275714192
C(C=O)OCN=O,0.329375718,-0.003202296,-0.332578014
C=NC(O)(O)O,0.361798616,-0.077099295,-0.438897911
C=COC=CO,0.295647138,-0.103639439,-0.399286577
C(=NC(=N)N(O)O)=O,0.361148537,-0.042189727,-0.403338264
C(C(=O)O)(N=O)O,0.361734318,0.014772574,-0.346961744
C=COC=C=O,0.302306516,-0.030552355,-0.332858871
C(C(=O)N=N)O,0.340069123,0.002370839,-0.337698284
C(C=NO)ON,0.335696443,-0.092163581,-0.427860024
CC([C+]=C=O)[O-],0.357475139,-0.032296591,-0.38977173
CC(=C=N)C=N,0.316298711,-0.058077336,-0.374376047
C(C=C=N)C=N,0.324979424,-0.070916103,-0.395895527
COC#CC(=O)N,0.337771806,-0.083626337,-0.421398143
C(#CO)C#CO[N+](=O)[O-],0.298627719,0.057008343,-0.241619376
CC(=O)NC=N,0.354781959,-0.05925384,-0.414035799
C(=NN(C(=O)N)O)=O,0.330133413,-0.072509401,-0.402642814
C=CC(N)N=O,0.31353336,-0.016534775,-0.330068135
CC(N)[N+](=O)[O-],0.358604146,-0.043324531,-0.401928677
CNC(C#N)C#N,0.372192362,-0.05674046,-0.428932822
C(=O)OC(=C=O)OC=O,0.324456751,-0.02017312,-0.344629871
C(=O)C(=O)OC#N,0.406181105,0.042841188,-0.363339917
C(C(=N)C=O)O,0.363139908,0.005994172,-0.357145736
C(=O)N=[N+](C=O)[O-],0.385537424,0.036063339,-0.349474085
C(CO)N=C=N,0.343423094,-0.120785473,-0.464208567
C(=O)(O)OO[N+](=O)[O-],0.428621892,-0.019602964,-0.448224856
C(N)(N)OOO,0.359466604,-0.109830414,-0.469297018
C(=N)NC(=O)ON,0.354413734,-0.069839012,-0.424252746
